year,region,group,channel,spend,packs,spendYoy,population,perResident,populationBasis,missingSpendCells,missingPackCells,months
2016,190,antifungals,convenzionata,8795237.66,446783.0,,5004400,1.7575009311805612,"ISTAT intercensal reconstruction, January 1",50,50,12
2016,190,antifungals,direct,9523207.81,39543.0,,5004400,1.902966951083047,"ISTAT intercensal reconstruction, January 1",10,10,12
2016,200,antibiotics,convenzionata,15976227.87,1809412.0,,1642492,9.72682233459889,"ISTAT intercensal reconstruction, January 1",205,205,12
2016,200,antibiotics,direct,5122756.3562,900341.0,,1642492,3.1188927289752404,"ISTAT intercensal reconstruction, January 1",33,33,12
2016,200,antifungals,convenzionata,2107647.6,133546.0,,1642492,1.2832011358350603,"ISTAT intercensal reconstruction, January 1",52,52,12
2016,200,antifungals,direct,4239610.24,19798.0,,1642492,2.5812060210947756,"ISTAT intercensal reconstruction, January 1",7,7,12
2017,000,antibiotics,convenzionata,660339462.8631535,79895406.0,-0.0343610258187063,60066734,10.993430454586617,"ISTAT intercensal reconstruction, January 1",4847,4847,12
2017,000,antibiotics,direct,210658436.64,33573332.0,0.05147429358347064,60066734,3.5070732602175436,"ISTAT intercensal reconstruction, January 1",921,921,12
2017,000,antifungals,convenzionata,63603964.70516597,3473493.0,-0.04031267733040575,60066734,1.0588883475030617,"ISTAT intercensal reconstruction, January 1",1029,1029,12
2017,000,antifungals,direct,136874467.17,735519.0,-0.04910751818014644,60066734,2.2787066659891977,"ISTAT intercensal reconstruction, January 1",127,127,12
2017,010,antibiotics,convenzionata,36006662.127576664,4320694.0,-0.026336783683520562,4370348,8.238854692481391,"ISTAT intercensal reconstruction, January 1",278,278,12
2017,010,antibiotics,direct,15310800.43,2510039.0,-0.04710806253889741,4370348,3.503336674791115,"ISTAT intercensal reconstruction, January 1",26,26,12
2017,010,antifungals,convenzionata,3761668.70354112,217441.0,-0.028314057951328537,4370348,0.8607252107935387,"ISTAT intercensal reconstruction, January 1",60,60,12
2017,010,antifungals,direct,9667258.38,58384.0,-0.08860919717584782,4370348,2.2120111213111637,"ISTAT intercensal reconstruction, January 1",3,3,12
2017,020,antibiotics,convenzionata,920583.5941387564,108333.0,0.008625970062444548,126677,7.2671723686127425,"ISTAT intercensal reconstruction, January 1",146,146,12
2017,020,antibiotics,direct,404798.8,73846.0,-0.17931782338711832,126677,3.195519312898158,"ISTAT intercensal reconstruction, January 1",46,46,12
2017,020,antifungals,convenzionata,76700.222458222,4279.0,-0.1371046461973707,126677,0.6054786777254119,"ISTAT intercensal reconstruction, January 1",22,22,12
2017,020,antifungals,direct,70155.56,1278.0,-0.3729446571655573,126677,0.5538145046062032,"ISTAT intercensal reconstruction, January 1",1,1,12
2017,030,antibiotics,convenzionata,80823765.55565175,9859489.0,-0.0076649726638408945,9970419,8.106355967151607,"ISTAT intercensal reconstruction, January 1",273,273,12
