aic,description,spend_eur,resolved,confidence,method,unresolved_category,units,content_per_unit_mg,total_content_mg,source_note
021852013,COCARNITIN B12*OS 10FL 10ML,803.7,False,Unresolved,unresolved,other,,,,
035899018,ITRACONAZOLO SAND*8CPS 100MG,803.36,True,Validated,parsed:direct_strength,,8,100.0,800.0,8CPS 100MG
031100011,EOSINA NOVA AR*SOL CUT 2% 100G,802.56,True,Authoritative,aifa_ingredient_authoritative,,,,2000.0,EOSINA 2grammi
029384017,LORTAAN*28CPR RIV 50MG,798.89,True,Validated,parsed:direct_strength,,28,50.0,1400.0,28CPR RIV 50MG
033007067,TORVAST*30CPR RIV 40MG,795.37,True,Validated,parsed:direct_strength,,30,40.0,1200.0,30CPR RIV 40MG
040438018,ESOMEPRAZOLO SUN*EV 1FL 40MG,794.97,True,Validated,parsed:direct_strength,,1,40.0,40.0,1FL 40MG
024862094,RYTMONORM*28CPS 325MG RP PVC/A,791.03,True,Authoritative,aifa_ingredient_authoritative,,,,325.0,PROPAFENONE CLORIDRATO 325milligrammi
027476023,CACIT 1000*30CPR EFF 1000MG,790.26,True,Authoritative,aifa_ingredient_authoritative,,,,1000.0,CALCIO CARBONATO 1000milligrammi
039405030,"PACLITAXEL KABI*1F 100MG16,7ML",786.5,True,Validated,parsed:direct_strength,,1,100.0,100.0,1F 100MG
037092222,RISPERIDONE TE*60CPR RIV 2MG,785.91,True,Validated,parsed:direct_strength,,60,2.0,120.0,60CPR RIV 2MG
039611013,SONIREM*OS GTT 30ML 10MG/ML,784.51,True,Candidate,parsed:implied_unit_vol_conc,,1,300.0,300.0,GTT 30ML 10MG/ML
024385421,INTRALIPID*6SACC 1000ML20G/100,783.25,False,Unresolved,unresolved,other,,,,
022240016,MINOCIN*8CPS 100MG,780.19,True,Authoritative,aifa_ingredient_authoritative,,,,100.0,MINOCICLINA DICLORIDRATO 100milligrammi
036145086,HOSPASOL*2SA 5LT 167MMOL/LT,780.0,False,Unresolved,unresolved,other,,,,
045681032,OLAZAX*28CPR 10MG,778.4,True,Validated,parsed:direct_strength,,28,10.0,280.0,28CPR 10MG
040422545,PALEXIA*30CPR 100MG RP,776.83,True,Validated,parsed:direct_strength,,30,100.0,3000.0,30CPR 100MG
